,Price,Name,Image_URL,Product_URL,Brand
18,"€ 239,95",VANDAL 145W + VANDAL M 2020 SNOWBOARD SET,https://images.blue-tomato.com/is/image/bluetomato/304025964_front.jpg-ny5HmWB8vDR0kH1hOmA1XdD_piw/Vandal+145W+Vandal+M+2020+Snowboard+Set.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/K2-Vandal+145W+Vandal+M+2020+Snowboard+Set-580082/,K2
19,"€ 299,95",BOUNDARY 2021 SNOWBOARDBOOTS,https://images.blue-tomato.com/is/image/bluetomato/304359523_front.jpg-9MWTV5-zTjndqFsKv9-4Ueuu-TE/Boundary+2021+Snowboardboots.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/K2-Boundary+2021+Snowboardboots-625077/,K2
20,"€ 599,95",SWISS KNIFE 158 2021 SNOWBOARD,https://images.blue-tomato.com/is/image/bluetomato/304372963_front.jpg-Z5CObTGMmHKn8WhakDSxDAvyOzw/Swiss+Knife+158+2021+Snowboard.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Swiss+Knife+158+2021+Snowboard-628786/,LIB TECH
21,"€ 129,95",SUPER ECO CROSS VEST MEN RÜCKENPROTEKTOR,https://images.blue-tomato.com/is/image/bluetomato/304044228_front.jpg-YEuWgmp6b9SQZqUxKBD-T5LaVhM/Super+ECO+Cross+Vest+Men+Rueckenprotektor.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Komperdell-Super+ECO+Cross+Vest+Men+Rueckenprotektor-583424/,KOMPERDELL
22,"€ 699,95",VERTIGO WAVY DOT 162 2021 SNOWBOARD,https://images.blue-tomato.com/is/image/bluetomato/304370845_front.jpg-oJkY27MldMzQSJxR_YRVpZkSrUs/Vertigo+Wavy+Dot+162+2021+Snowboard.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Santa+Cruz+Snowboards-Vertigo+Wavy+Dot+162+2021+Snowboard-628014/,SANTA CRUZ SNOWBOARDS
23,"€ 699,95",VERTIGO WAVY DOT 157 2021 SNOWBOARD,https://images.blue-tomato.com/is/image/bluetomato/304370844_front.jpg-oJkY27MldMzQSJxR_YRVpZkSrUs/Vertigo+Wavy+Dot+157+2021+Snowboard.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Santa+Cruz+Snowboards-Vertigo+Wavy+Dot+157+2021+Snowboard-628013/,SANTA CRUZ SNOWBOARDS
24,"€ 499,95",BOX SCRATCHER 151 2021 SNOWBOARD,https://images.blue-tomato.com/is/image/bluetomato/304372893_front.jpg-jYHuRywI9yfCcC7bwger-dE9XJk/Box+Scratcher+151+2021+Snowboard.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Lib+Tech-Box+Scratcher+151+2021+Snowboard-628724/,LIB TECH
25,"€ 429,95",CARBON CREDIT 153 2021 SNOWBOARD,https://images.blue-tomato.com/is/image/bluetomato/304372770_front.jpg-BHv8DFReIHetW89QIwfP9kNy8_4/Carbon+Credit+153+2021+Snowboard.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Gnu-Carbon+Credit+153+2021+Snowboard-628613/,GNU
26,"€ 599,95",MIND EXPANDER 162 SNOWBOARD 2021,https://images.blue-tomato.com/is/image/bluetomato/304375156_front.jpg-HWtHKJqYWpeOYIIh6HfiV79PBhQ/Mind+Expander+162+Snowboard+2021.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Jones+Snowboards-Mind+Expander+162+Snowboard+2021-629215/,JONES SNOWBOARDS
27,"€ 24,95",BASE PERFORMANCE LIQUID PARAFFIN YELLOW -4°C / 10°C WACHS,https://images.blue-tomato.com/is/image/bluetomato/304376597_front.jpg-pWhCgOtXbPoXrttjAtHOAsYHWPk/Base+Performance+Liquid+Paraffin+Yellow+4+C+10+C+Wachs.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Toko-Base+Performance+Liquid+Paraffin+Yellow+4+C+10+C+Wachs-629699/,TOKO
28,"€ 74,95",RAVEN HELM,https://images.blue-tomato.com/is/image/bluetomato/303923150_front.jpg-hw_EpN8dAuK58xLPWU49xkSFZeM/Raven+Helm.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Anon-Raven+Helm-567132/,ANON
29,"€ 109,95",DERINGER CAMO (+BONUS LENS) GOGGLE,https://images.blue-tomato.com/is/image/bluetomato/304363366_front.jpg-ab3d0IZh0sR44g_d3mcSOjym1Xw/Deringer+Camo+Bonus+Lens+Goggle.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Anon-Deringer+Camo+Bonus+Lens+Goggle-625971/,ANON
30,"€ 159,95",MUSE 150 2020 SNOWBOARD,https://images.blue-tomato.com/is/image/bluetomato/304047544_front.jpg-ayXkatuLe1hl0WNJYvs3wRE-1qk/Muse+150+2020+Snowboard.jpg?$b8$,https://www.blue-tomato.com/de-AT/product/Alibi+Snowboards-Muse+150+2020+Snowboard-583839/,ALIBI SNOWBOARDS
